Document,Label
The latest stories from the Health section of the BBC News web site.,Health
"One of the main types of blood cancer is not one but 11 distinct diseases, detailed genetic analysis suggests.",Health
"Health inspectors rate a hospital ""inadequate"" because of its ""chaotic"" emergency department.",Health
Early trial data shows a drug developed using artificial intelligence can slow the growth of cancer in clinical trials.,Health
UK researchers say they have found a new way to tell if a heart attack is more severe and might cause lasting harm - by looking for bruising or bleeding in the heart muscle.,Health
High demand on Wigan hospital's A&E department is partially blamed on the temporary closure of a nearby casualty unit.,Health
"Scientists are investigating whether bubbly drinks could boost the success of cancer treatments, after winning a Cancer Research UK award for ""outside the box"" ideas.",Health
UK scientists have developed a blood test to help doctors pick the best drug for patients with depression.,Health
The NHS watchdog NICE has been asked by government to look at the cost of providing an HIV prevention drug known as Prep.,Health
"Delays in releasing elderly patients from hospital could continue for up to five years, the head of NHS England warns.",Health
"The maximum recommended weekly intake of alcohol can be bought for ¬£2.52, according to a new survey.",Health
"General practice in Northern Ireland is ""on the edge of a full-blown crisis"", a survey suggests.",Health
"The hunt for a cancer cure should be treated with as much urgency as the Ebola outbreak, says US Vice-President Joe Biden.",Health
"A new cancer drug can significantly slow the spread of deadly recurrent breast cancers, a study shows.",Health
"The firm which produces an electromagnetic pulse machine has dismissed claims from entertainer Noel Edmonds that it ""tackles cancer"".",Health
"Anxiety disorders need more research and women are nearly twice as likely to be affected as men, a global review by University of Cambridge scientists finds.",Health
Why the NHS should listen to people who see something amiss,Health
The strange effects of cancer on appetite,Health
"As we live longer and with council budgets tight, the care system that supports us in our later years is under increasing pressure. Find out the costs you might face.",Health
"Using DNA from three people to create a baby is safe, according to a major research study, by scientists at the Wellcome Trust Centre at Newcastle University.",Health
"After months of pressure on accident and emergency services in England, there's a slight improvement in waiting times.",Health
A man who was left paralysed after a car accident walks for the first time in four years thanks to a bionic exoskeleton.,Health
Scientists in the United States are trying to grow human organs inside pigs.,Health
"Hannah Kara, 21, speaks about the social anxiety she has suffered, as a global review reveals women are nearly twice as likely to experience anxiety as men.",Health
"Actor Michael J Fox has praised Muhammad Ali for his work in fighting Parkinson's disease, a medical condition they both suffered from.",Health
"A great-grandfather becomes one of the first in the UK to be treated for a stroke, using stem cells.",Health
A virtual reality app aims to provide a sense of what it is like to live with Alzheimer's and other forms of dementia.,Health
The body builder who is using social media to document his neurological disorder,Health
AstraZeneca boss says no point giving free drugs to Africa,Health
Why India needs to clean up its blood supplies,Health
Boxer Muhammad Ali's life with the degenerative condition,Health
"Why they are vital for plugging the ""immunisation loophole""",Health
The truth about running when you are pregnant,Health
The latest stories from the Politics section of the BBC News web site.,Politics
"Sir John Major and Tony Blair say leaving the EU could threaten the future of the UK - a claim dismissed as ""highly irresponsible"" by the Northern Ireland secretary.",Politics
JCB chairman Lord Bamford writes to his workers in the UK to explain why he favours leaving the EU.,Politics
Prominent Leave campaigner Arron Banks is considering launching a legal challenge after the government extended the EU referendum voter registration deadline.,Politics
A man who was secretly detained and sent to Libya with his pregnant wife in 2004 tells the BBC of his disappointment that no-one will be prosecuted.,Politics
Tory MP Sarah Wollaston quits the campaign to leave the EU saying its claim that £350m a week could be saved for the NHS 'simply isn't true'.,Politics
"The government is failing to do enough to protect communities at risk of flooding and needs to do more long-term planning, MPs say.",Politics
Women who have been made to wear high heels at work are being invited to share their experiences with MPs in a new Parliamentary inquiry.,Politics
"The EU referendum is a ""fight for the soul of the country"", Chancellor George Osborne says, warning there is a ""lot to be scared about"" if the UK leaves.",Politics
Justice Secretary and Leave campaigner Michael Gove issues a fresh warning about the risk of allowing visa-free EU travel for Turkish citizens.,Politics
"Labour MPs opposed to party leader Jeremy Corbyn over Trident renewal publish a report claiming arguments against it are based on ""myths"" and ""science fiction"".",Politics
"Jeremy Corbyn is shirking ""difficult decisions"" in favour of the politics of protest, Tony Blair has said, likening him to the ""guy with the placard"".",Politics
